Title;Synopsis;Début du projet;Fin du projet;Visuel;Nature;Budget;Catégorie;link.text;link.url;Owner;Year
Die Another Day ;;;01/01/2002;;MOVIE;142000000;Action|Adventure|Thriller;IMDB;http://www.imdb.com/title/tt0246460/?ref_=fn_tt_tt_1;public;2002
Ghostbusters ;;;01/01/2016;;MOVIE;144000000;Action|Comedy|Fantasy|Sci-Fi;IMDB;http://www.imdb.com/title/tt1289401/?ref_=fn_tt_tt_1;public;2016
Armageddon ;;;01/01/1998;;MOVIE;140000000;Action|Adventure|Sci-Fi|Thriller;IMDB;http://www.imdb.com/title/tt0120591/?ref_=fn_tt_tt_1;public;1998
Men in Black II ;;;01/01/2002;;MOVIE;140000000;Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi;IMDB;http://www.imdb.com/title/tt0120912/?ref_=fn_tt_tt_1;public;2002
Beowulf ;;;01/01/2007;;MOVIE;150000000;Action|Adventure|Animation|Fantasy;IMDB;http://www.imdb.com/title/tt0442933/?ref_=fn_tt_tt_1;public;2007
Kung Fu Panda 3 ;;;01/01/2016;;MOVIE;145000000;Action|Adventure|Animation|Comedy|Family;IMDB;http://www.imdb.com/title/tt2267968/?ref_=fn_tt_tt_1;public;2016
Mission: Impossible - Ghost Protocol ;;;01/01/2011;;MOVIE;145000000;Action|Adventure|Thriller;IMDB;http://www.imdb.com/title/tt1229238/?ref_=fn_tt_tt_1;public;2011
Rise of the Guardians ;;;01/01/2012;;MOVIE;145000000;Adventure|Animation|Family|Fantasy;IMDB;http://www.imdb.com/title/tt1446192/?ref_=fn_tt_tt_1;public;2012
Fun with Dick and Jane ;;;01/01/2005;;MOVIE;100000000;Comedy|Crime;IMDB;http://www.imdb.com/title/tt0369441/?ref_=fn_tt_tt_1;public;2005
The Last Samurai ;;;01/01/2003;;MOVIE;140000000;Action|Drama|History|War;IMDB;http://www.imdb.com/title/tt0325710/?ref_=fn_tt_tt_1;public;2003
Exodus: Gods and Kings ;;;01/01/2014;;MOVIE;140000000;Action|Adventure|Drama;IMDB;http://www.imdb.com/title/tt1528100/?ref_=fn_tt_tt_1;public;2014
Star Trek ;;;01/01/2009;;MOVIE;150000000;Action|Adventure|Sci-Fi;IMDB;http://www.imdb.com/title/tt0796366/?ref_=fn_tt_tt_1;public;2009
Spider-Man ;;;01/01/2002;;MOVIE;139000000;Action|Adventure|Fantasy|Romance;IMDB;http://www.imdb.com/title/tt0145487/?ref_=fn_tt_tt_1;public;2002
How to Train Your Dragon 2 ;;;01/01/2014;;MOVIE;145000000;Action|Adventure|Animation|Comedy|Family|Fantasy;IMDB;http://www.imdb.com/title/tt1646971/?ref_=fn_tt_tt_1;public;2014
Gods of Egypt ;;;01/01/2016;;MOVIE;140000000;Action|Adventure|Fantasy;IMDB;http://www.imdb.com/title/tt2404233/?ref_=fn_tt_tt_1;public;2016
Stealth ;;;01/01/2005;;MOVIE;135000000;Action|Adventure|Sci-Fi|Thriller;IMDB;http://www.imdb.com/title/tt0382992/?ref_=fn_tt_tt_1;public;2005
Watchmen ;;;01/01/2009;;MOVIE;130000000;Action|Drama|Mystery|Sci-Fi;IMDB;http://www.imdb.com/title/tt0409459/?ref_=fn_tt_tt_1;public;2009
Lethal Weapon 4 ;;;01/01/1998;;MOVIE;140000000;Action|Crime|Thriller;IMDB;http://www.imdb.com/title/tt0122151/?ref_=fn_tt_tt_1;public;1998
Hulk ;;;01/01/2003;;MOVIE;137000000;Action|Sci-Fi;IMDB;http://www.imdb.com/title/tt0286716/?ref_=fn_tt_tt_1;public;2003
G.I. Joe: Retaliation ;;;01/01/2013;;MOVIE;130000000;Action|Adventure|Sci-Fi|Thriller;IMDB;http://www.imdb.com/title/tt1583421/?ref_=fn_tt_tt_1;public;2013
Sahara ;;;01/01/2005;;MOVIE;130000000;Action|Adventure|Comedy|Thriller;IMDB;http://www.imdb.com/title/tt0318649/?ref_=fn_tt_tt_1;public;2005
Final Fantasy: The Spirits Within ;;;01/01/2001;;MOVIE;137000000;Action|Adventure|Animation|Fantasy|Romance|Sci-Fi;IMDB;http://www.imdb.com/title/tt0173840/?ref_=fn_tt_tt_1;public;2001
Captain America: The First Avenger ;;;01/01/2011;;MOVIE;140000000;Action|Adventure|Sci-Fi;IMDB;http://www.imdb.com/title/tt0458339/?ref_=fn_tt_tt_1;public;2011
The World Is Not Enough ;;;01/01/1999;;MOVIE;135000000;Action|Adventure|Thriller;IMDB;http://www.imdb.com/title/tt0143145/?ref_=fn_tt_tt_1;public;1999
Master and Commander: The Far Side of the World ;;;01/01/2003;;MOVIE;150000000;Action|Adventure|Drama|History|War;IMDB;http://www.imdb.com/title/tt0311113/?ref_=fn_tt_tt_1;public;2003
The Twilight Saga: Breaking Dawn - Part 2 ;;;01/01/2012;;MOVIE;120000000;Adventure|Drama|Fantasy|Romance;IMDB;http://www.imdb.com/title/tt1673434/?ref_=fn_tt_tt_1;public;2012
Happy Feet 2 ;;;01/01/2011;;MOVIE;135000000;Animation|Comedy|Family|Musical;IMDB;http://www.imdb.com/title/tt1402488/?ref_=fn_tt_tt_1;public;2011
The Incredible Hulk ;;;01/01/2008;;MOVIE;150000000;Action|Adventure|Sci-Fi;IMDB;http://www.imdb.com/title/tt0800080/?ref_=fn_tt_tt_1;public;2008
Miami Vice             ;;;01/01/;;MOVIE;1500000;Action|Crime|Drama|Mystery|Thriller;IMDB;http://www.imdb.com/title/tt0086759/?ref_=fn_tt_tt_1;public;0
The BFG ;;;01/01/2016;;MOVIE;140000000;Adventure|Family|Fantasy;IMDB;http://www.imdb.com/title/tt3691740/?ref_=fn_tt_tt_1;public;2016
The Revenant ;;;01/01/2015;;MOVIE;135000000;Adventure|Drama|Thriller|Western;IMDB;http://www.imdb.com/title/tt1663202/?ref_=fn_tt_tt_1;public;2015
Turbo ;;;01/01/2013;;MOVIE;135000000;Adventure|Animation|Comedy|Family|Sport;IMDB;http://www.imdb.com/title/tt1860353/?ref_=fn_tt_tt_1;public;2013
Rango ;;;01/01/2011;;MOVIE;135000000;Adventure|Animation|Comedy|Family|Western;IMDB;http://www.imdb.com/title/tt1192628/?ref_=fn_tt_tt_1;public;2011
Penguins of Madagascar ;;;01/01/2014;;MOVIE;132000000;Adventure|Animation|Comedy|Family;IMDB;http://www.imdb.com/title/tt1911658/?ref_=fn_tt_tt_1;public;2014
The Bourne Ultimatum ;;;01/01/2007;;MOVIE;110000000;Action|Mystery|Thriller;IMDB;http://www.imdb.com/title/tt0440963/?ref_=fn_tt_tt_1;public;2007
Kung Fu Panda ;;;01/01/2008;;MOVIE;130000000;Action|Adventure|Animation|Comedy|Family;IMDB;http://www.imdb.com/title/tt0441773/?ref_=fn_tt_tt_1;public;2008
Ant-Man ;;;01/01/2015;;MOVIE;130000000;Action|Adventure|Comedy|Sci-Fi;IMDB;http://www.imdb.com/title/tt0478970/?ref_=fn_tt_tt_1;public;2015
The Hunger Games: Catching Fire ;;;01/01/2013;;MOVIE;130000000;Adventure|Sci-Fi|Thriller;IMDB;http://www.imdb.com/title/tt1951264/?ref_=fn_tt_tt_1;public;2013
The Twilight Saga: Breaking Dawn - Part 2 ;;;01/01/2012;;MOVIE;120000000;Adventure|Drama|Fantasy|Romance;IMDB;http://www.imdb.com/title/tt1673434/?ref_=fn_tt_tt_1;public;2012
Home ;;;01/01/2015;;MOVIE;135000000;Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi;IMDB;http://www.imdb.com/title/tt2224026/?ref_=fn_tt_tt_1;public;2015
War of the Worlds ;;;01/01/2005;;MOVIE;132000000;Adventure|Sci-Fi|Thriller;IMDB;http://www.imdb.com/title/tt0407304/?ref_=fn_tt_tt_1;public;2005
Bad Boys II ;;;01/01/2003;;MOVIE;130000000;Action|Comedy|Crime|Thriller;IMDB;http://www.imdb.com/title/tt0172156/?ref_=fn_tt_tt_1;public;2003
Puss in Boots ;;;01/01/2011;;MOVIE;130000000;Action|Adventure|Animation|Comedy|Family|Fantasy;IMDB;http://www.imdb.com/title/tt0448694/?ref_=fn_tt_tt_1;public;2011
Salt ;;;01/01/2010;;MOVIE;110000000;Action|Crime|Mystery|Thriller;IMDB;http://www.imdb.com/title/tt0944835/?ref_=fn_tt_tt_1;public;2010
Noah ;;;01/01/2014;;MOVIE;125000000;Action|Adventure|Drama;IMDB;http://www.imdb.com/title/tt1959490/?ref_=fn_tt_tt_1;public;2014
The Adventures of Tintin ;;;01/01/2011;;MOVIE;135000000;Action|Adventure|Family|Mystery;IMDB;http://www.imdb.com/title/tt0983193/?ref_=fn_tt_tt_1;public;2011
Harry Potter and the Prisoner of Azkaban ;;;01/01/2004;;MOVIE;130000000;Adventure|Family|Fantasy|Mystery;IMDB;http://www.imdb.com/title/tt0304141/?ref_=fn_tt_tt_1;public;2004
Australia ;;;01/01/2008;;MOVIE;130000000;Adventure|Drama|Romance|War;IMDB;http://www.imdb.com/title/tt0455824/?ref_=fn_tt_tt_1;public;2008
After Earth ;;;01/01/2013;;MOVIE;130000000;Action|Adventure|Sci-Fi;IMDB;http://www.imdb.com/title/tt1815862/?ref_=fn_tt_tt_1;public;2013
Dinosaur ;;;01/01/2000;;MOVIE;127500000;Adventure|Animation|Family|Thriller;IMDB;http://www.imdb.com/title/tt0130623/?ref_=fn_tt_tt_1;public;2000
Harry Potter and the Deathly Hallows: Part II ;;;01/01/2011;;MOVIE;;Action|Fantasy;IMDB;http://www.imdb.com/title/tt1680310/?ref_=fn_tt_tt_1;public;2011
Night at the Museum: Secret of the Tomb ;;;01/01/2014;;MOVIE;127000000;Adventure|Comedy|Family|Fantasy;IMDB;http://www.imdb.com/title/tt2692250/?ref_=fn_tt_tt_1;public;2014
Megamind ;;;01/01/2010;;MOVIE;130000000;Action|Animation|Comedy|Family|Sci-Fi;IMDB;http://www.imdb.com/title/tt1001526/?ref_=fn_tt_tt_1;public;2010
Harry Potter and the Sorcerer's Stone ;;;01/01/2001;;MOVIE;125000000;Adventure|Family|Fantasy;IMDB;http://www.imdb.com/title/tt0241527/?ref_=fn_tt_tt_1;public;2001
R.I.P.D. ;;;01/01/2013;;MOVIE;130000000;Action|Comedy|Fantasy;IMDB;http://www.imdb.com/title/tt0790736/?ref_=fn_tt_tt_1;public;2013
Godzilla Resurgence ;;;01/01/2016;;MOVIE;;Action|Adventure|Drama|Horror|Sci-Fi;IMDB;http://www.imdb.com/title/tt4262980/?ref_=fn_tt_tt_1;public;2016
Pirates of the Caribbean: The Curse of the Black Pearl ;;;01/01/2003;;MOVIE;140000000;Action|Adventure|Fantasy;IMDB;http://www.imdb.com/title/tt0325980/?ref_=fn_tt_tt_1;public;2003
Harry Potter and the Deathly Hallows: Part I ;;;01/01/2010;;MOVIE;;Fantasy;IMDB;http://www.imdb.com/title/tt1571403/?ref_=fn_tt_tt_1;public;2010
The Hunger Games: Mockingjay - Part 1 ;;;01/01/2014;;MOVIE;125000000;Adventure|Sci-Fi|Thriller;IMDB;http://www.imdb.com/title/tt1951265/?ref_=fn_tt_tt_1;public;2014
The Da Vinci Code ;;;01/01/2006;;MOVIE;125000000;Mystery|Thriller;IMDB;http://www.imdb.com/title/tt0382625/?ref_=fn_tt_tt_1;public;2006
Rio 2 ;;;01/01/2014;;MOVIE;103000000;Adventure|Animation|Comedy|Family|Musical;IMDB;http://www.imdb.com/title/tt2357291/?ref_=fn_tt_tt_1;public;2014
X-Men 2 ;;;01/01/2003;;MOVIE;110000000;Action|Adventure|Fantasy|Sci-Fi|Thriller;IMDB;http://www.imdb.com/title/tt0290334/?ref_=fn_tt_tt_1;public;2003
Fast Five ;;;01/01/2011;;MOVIE;125000000;Action|Crime|Thriller;IMDB;http://www.imdb.com/title/tt1596343/?ref_=fn_tt_tt_1;public;2011
Sherlock Holmes: A Game of Shadows ;;;01/01/2011;;MOVIE;125000000;Action|Adventure|Crime|Mystery|Thriller;IMDB;http://www.imdb.com/title/tt1515091/?ref_=fn_tt_tt_1;public;2011
Clash of the Titans ;;;01/01/2010;;MOVIE;125000000;Action|Adventure|Fantasy;IMDB;http://www.imdb.com/title/tt0800320/?ref_=fn_tt_tt_1;public;2010
