Title;Synopsis;Début du projet;Fin du projet;Visuel;Nature;Budget;Catégorie;link.text;link.url;Owner;Year
Inglourious Basterds ;;;01/01/2009;;MOVIE;75000000;Adventure|Drama|War;IMDB;http://www.imdb.com/title/tt0361748/?ref_=fn_tt_tt_1;public;2009
Hook ;;;01/01/1991;;MOVIE;70000000;Adventure|Comedy|Family|Fantasy;IMDB;http://www.imdb.com/title/tt0102057/?ref_=fn_tt_tt_1;public;1991
Hercules ;;;01/01/2014;;MOVIE;100000000;Action|Adventure;IMDB;http://www.imdb.com/title/tt1267297/?ref_=fn_tt_tt_1;public;2014
Die Hard 2 ;;;01/01/1990;;MOVIE;70000000;Action|Thriller;IMDB;http://www.imdb.com/title/tt0099423/?ref_=fn_tt_tt_1;public;1990
S.W.A.T. ;;;01/01/2003;;MOVIE;80000000;Action|Adventure|Crime|Thriller;IMDB;http://www.imdb.com/title/tt0257076/?ref_=fn_tt_tt_1;public;2003
Sleepy Hollow             ;;;01/01/;;MOVIE;;Adventure|Drama|Fantasy|Mystery|Thriller;IMDB;http://www.imdb.com/title/tt2647544/?ref_=fn_tt_tt_1;public;0
Vanilla Sky ;;;01/01/2001;;MOVIE;68000000;Fantasy|Mystery|Romance|Sci-Fi|Thriller;IMDB;http://www.imdb.com/title/tt0259711/?ref_=fn_tt_tt_1;public;2001
Lady in the Water ;;;01/01/2006;;MOVIE;70000000;Drama|Fantasy|Mystery|Thriller;IMDB;http://www.imdb.com/title/tt0452637/?ref_=fn_tt_tt_1;public;2006
AVP: Alien vs. Predator ;;;01/01/2004;;MOVIE;60000000;Action|Horror|Sci-Fi|Thriller;IMDB;http://www.imdb.com/title/tt0370263/?ref_=fn_tt_tt_1;public;2004
Alvin and the Chipmunks: The Squeakquel ;;;01/01/2009;;MOVIE;75000000;Animation|Comedy|Family|Fantasy|Music;IMDB;http://www.imdb.com/title/tt1231580/?ref_=fn_tt_tt_1;public;2009
We Were Soldiers ;;;01/01/2002;;MOVIE;75000000;Action|Drama|History|War;IMDB;http://www.imdb.com/title/tt0277434/?ref_=fn_tt_tt_1;public;2002
Olympus Has Fallen ;;;01/01/2013;;MOVIE;70000000;Action|Thriller;IMDB;http://www.imdb.com/title/tt2302755/?ref_=fn_tt_tt_1;public;2013
Star Trek: Insurrection ;;;01/01/1998;;MOVIE;58000000;Action|Adventure|Sci-Fi|Thriller;IMDB;http://www.imdb.com/title/tt0120844/?ref_=fn_tt_tt_1;public;1998
Battle Los Angeles ;;;01/01/2011;;MOVIE;70000000;Action|Sci-Fi;IMDB;http://www.imdb.com/title/tt1217613/?ref_=fn_tt_tt_1;public;2011
Big Fish ;;;01/01/2003;;MOVIE;70000000;Adventure|Drama|Fantasy;IMDB;http://www.imdb.com/title/tt0319061/?ref_=fn_tt_tt_1;public;2003
Wolf ;;;01/01/1994;;MOVIE;70000000;Drama|Horror|Romance|Thriller;IMDB;http://www.imdb.com/title/tt0111742/?ref_=fn_tt_tt_1;public;1994
War Horse ;;;01/01/2011;;MOVIE;66000000;Drama|War;IMDB;http://www.imdb.com/title/tt1568911/?ref_=fn_tt_tt_1;public;2011
The Monuments Men ;;;01/01/2014;;MOVIE;70000000;Drama|War;IMDB;http://www.imdb.com/title/tt2177771/?ref_=fn_tt_tt_1;public;2014
The Abyss ;;;01/01/1989;;MOVIE;69500000;Adventure|Drama|Sci-Fi|Thriller;IMDB;http://www.imdb.com/title/tt0096754/?ref_=fn_tt_tt_1;public;1989
Wall Street: Money Never Sleeps ;;;01/01/2010;;MOVIE;70000000;Drama;IMDB;http://www.imdb.com/title/tt1027718/?ref_=fn_tt_tt_1;public;2010
Dracula Untold ;;;01/01/2014;;MOVIE;70000000;Action|Drama|Fantasy|Horror|War;IMDB;http://www.imdb.com/title/tt0829150/?ref_=fn_tt_tt_1;public;2014
The Siege ;;;01/01/1998;;MOVIE;70000000;Action|Thriller;IMDB;http://www.imdb.com/title/tt0133952/?ref_=fn_tt_tt_1;public;1998
Stardust ;;;01/01/2007;;MOVIE;70000000;Adventure|Family|Fantasy|Romance;IMDB;http://www.imdb.com/title/tt0486655/?ref_=fn_tt_tt_1;public;2007
Seven Years in Tibet ;;;01/01/1997;;MOVIE;70000000;Adventure|Biography|Drama|History|War;IMDB;http://www.imdb.com/title/tt0120102/?ref_=fn_tt_tt_1;public;1997
The Dilemma ;;;01/01/2011;;MOVIE;70000000;Comedy|Drama;IMDB;http://www.imdb.com/title/tt1578275/?ref_=fn_tt_tt_1;public;2011
Bad Company ;;;01/01/2002;;MOVIE;70000000;Action|Adventure|Comedy|Thriller;IMDB;http://www.imdb.com/title/tt0280486/?ref_=fn_tt_tt_1;public;2002
Doom ;;;01/01/2005;;MOVIE;60000000;Action|Adventure|Horror|Sci-Fi;IMDB;http://www.imdb.com/title/tt0419706/?ref_=fn_tt_tt_1;public;2005
I Spy ;;;01/01/2002;;MOVIE;70000000;Action|Adventure|Comedy|Thriller;IMDB;http://www.imdb.com/title/tt0297181/?ref_=fn_tt_tt_1;public;2002
Underworld: Awakening ;;;01/01/2012;;MOVIE;70000000;Action|Fantasy|Horror;IMDB;http://www.imdb.com/title/tt1496025/?ref_=fn_tt_tt_1;public;2012
Rock of Ages ;;;01/01/2012;;MOVIE;75000000;Comedy|Drama|Musical|Romance;IMDB;http://www.imdb.com/title/tt1336608/?ref_=fn_tt_tt_1;public;2012
Hart's War ;;;01/01/2002;;MOVIE;60000000;Drama|War;IMDB;http://www.imdb.com/title/tt0251114/?ref_=fn_tt_tt_1;public;2002
Killer Elite ;;;01/01/2011;;MOVIE;35000000;Action|Crime|Thriller;IMDB;http://www.imdb.com/title/tt1448755/?ref_=fn_tt_tt_1;public;2011
Rollerball ;;;01/01/2002;;MOVIE;70000000;Action|Sci-Fi|Sport;IMDB;http://www.imdb.com/title/tt0246894/?ref_=fn_tt_tt_1;public;2002
Ballistic: Ecks vs. Sever ;;;01/01/2002;;MOVIE;70000000;Action|Crime|Sci-Fi|Thriller;IMDB;http://www.imdb.com/title/tt0308208/?ref_=fn_tt_tt_1;public;2002
Hard Rain ;;;01/01/1998;;MOVIE;70000000;Action|Crime|Drama|Thriller;IMDB;http://www.imdb.com/title/tt0120696/?ref_=fn_tt_tt_1;public;1998
Osmosis Jones ;;;01/01/2001;;MOVIE;70000000;Action|Adventure|Animation|Comedy|Crime|Family|Fantasy;IMDB;http://www.imdb.com/title/tt0181739/?ref_=fn_tt_tt_1;public;2001
Legends of Oz: Dorothy's Return ;;;01/01/2013;;MOVIE;70000000;Adventure|Animation|Family|Fantasy|Musical;IMDB;http://www.imdb.com/title/tt0884726/?ref_=fn_tt_tt_1;public;2013
Blackhat ;;;01/01/2015;;MOVIE;70000000;Action|Crime|Drama|Mystery|Thriller;IMDB;http://www.imdb.com/title/tt2717822/?ref_=fn_tt_tt_1;public;2015
Sky Captain and the World of Tomorrow ;;;01/01/2004;;MOVIE;70000000;Action|Adventure|Mystery|Sci-Fi|Thriller;IMDB;http://www.imdb.com/title/tt0346156/?ref_=fn_tt_tt_1;public;2004
Basic Instinct 2 ;;;01/01/2006;;MOVIE;70000000;Crime|Mystery|Thriller;IMDB;http://www.imdb.com/title/tt0430912/?ref_=fn_tt_tt_1;public;2006
Escape Plan ;;;01/01/2013;;MOVIE;50000000;Action|Crime|Mystery|Sci-Fi|Thriller;IMDB;http://www.imdb.com/title/tt1211956/?ref_=fn_tt_tt_1;public;2013
The Legend of Hercules ;;;01/01/2014;;MOVIE;70000000;Action|Adventure|Fantasy;IMDB;http://www.imdb.com/title/tt1043726/?ref_=fn_tt_tt_1;public;2014
The Sum of All Fears ;;;01/01/2002;;MOVIE;68000000;Action|Drama|Thriller;IMDB;http://www.imdb.com/title/tt0164184/?ref_=fn_tt_tt_1;public;2002
The Twilight Saga: Eclipse ;;;01/01/2010;;MOVIE;68000000;Adventure|Drama|Fantasy|Romance;IMDB;http://www.imdb.com/title/tt1325004/?ref_=fn_tt_tt_1;public;2010
The Score ;;;01/01/2001;;MOVIE;68000000;Crime|Drama|Thriller;IMDB;http://www.imdb.com/title/tt0227445/?ref_=fn_tt_tt_1;public;2001
Despicable Me ;;;01/01/2010;;MOVIE;69000000;Animation|Comedy|Family;IMDB;http://www.imdb.com/title/tt1323594/?ref_=fn_tt_tt_1;public;2010
Money Train ;;;01/01/1995;;MOVIE;68000000;Action|Comedy|Crime|Drama|Thriller;IMDB;http://www.imdb.com/title/tt0113845/?ref_=fn_tt_tt_1;public;1995
Ted 2 ;;;01/01/2015;;MOVIE;68000000;Comedy;IMDB;http://www.imdb.com/title/tt2637276/?ref_=fn_tt_tt_1;public;2015
Agora ;;;01/01/2009;;MOVIE;70000000;Adventure|Drama|History|Romance;IMDB;http://www.imdb.com/title/tt1186830/?ref_=fn_tt_tt_1;public;2009
Mystery Men ;;;01/01/1999;;MOVIE;65000000;Action|Comedy|Fantasy|Sci-Fi;IMDB;http://www.imdb.com/title/tt0132347/?ref_=fn_tt_tt_1;public;1999
Hall Pass ;;;01/01/2011;;MOVIE;36000000;Comedy|Romance;IMDB;http://www.imdb.com/title/tt0480687/?ref_=fn_tt_tt_1;public;2011
The Insider ;;;01/01/1999;;MOVIE;68000000;Biography|Drama|Thriller;IMDB;http://www.imdb.com/title/tt0140352/?ref_=fn_tt_tt_1;public;1999
The Finest Hours ;;;01/01/2016;;MOVIE;;Action|Drama|History|Thriller;IMDB;http://www.imdb.com/title/tt2025690/?ref_=fn_tt_tt_1;public;2016
Body of Lies ;;;01/01/2008;;MOVIE;70000000;Action|Drama|Thriller;IMDB;http://www.imdb.com/title/tt0758774/?ref_=fn_tt_tt_1;public;2008
Dinner for Schmucks ;;;01/01/2010;;MOVIE;;Comedy;IMDB;http://www.imdb.com/title/tt0427152/?ref_=fn_tt_tt_1;public;2010
Abraham Lincoln: Vampire Hunter ;;;01/01/2012;;MOVIE;69000000;Action|Fantasy|Horror;IMDB;http://www.imdb.com/title/tt1611224/?ref_=fn_tt_tt_1;public;2012
Entrapment ;;;01/01/1999;;MOVIE;66000000;Action|Crime|Romance|Thriller;IMDB;http://www.imdb.com/title/tt0137494/?ref_=fn_tt_tt_1;public;1999
Last Man Standing             ;;;01/01/;;MOVIE;;Comedy;IMDB;http://www.imdb.com/title/tt1828327/?ref_=fn_tt_tt_1;public;0
The X Files ;;;01/01/1998;;MOVIE;66000000;Drama|Mystery|Sci-Fi|Thriller;IMDB;http://www.imdb.com/title/tt0120902/?ref_=fn_tt_tt_1;public;1998
The Last Legion ;;;01/01/2007;;MOVIE;35000000;Action|Adventure|Fantasy|War;IMDB;http://www.imdb.com/title/tt0462396/?ref_=fn_tt_tt_1;public;2007
Saving Private Ryan ;;;01/01/1998;;MOVIE;70000000;Action|Drama|War;IMDB;http://www.imdb.com/title/tt0120815/?ref_=fn_tt_tt_1;public;1998
Need for Speed ;;;01/01/2014;;MOVIE;66000000;Action|Crime|Drama|Thriller;IMDB;http://www.imdb.com/title/tt2369135/?ref_=fn_tt_tt_1;public;2014
What Women Want ;;;01/01/2000;;MOVIE;70000000;Comedy|Fantasy|Romance;IMDB;http://www.imdb.com/title/tt0207201/?ref_=fn_tt_tt_1;public;2000
Ice Age ;;;01/01/2002;;MOVIE;59000000;Adventure|Animation|Comedy|Family;IMDB;http://www.imdb.com/title/tt0268380/?ref_=fn_tt_tt_1;public;2002
Dreamcatcher ;;;01/01/2003;;MOVIE;68000000;Drama|Horror|Sci-Fi|Thriller;IMDB;http://www.imdb.com/title/tt0285531/?ref_=fn_tt_tt_1;public;2003
Lincoln ;;;01/01/2012;;MOVIE;65000000;Biography|Drama|History|War;IMDB;http://www.imdb.com/title/tt0443272/?ref_=fn_tt_tt_1;public;2012
The Matrix ;;;01/01/1999;;MOVIE;63000000;Action|Sci-Fi;IMDB;http://www.imdb.com/title/tt0133093/?ref_=fn_tt_tt_1;public;1999
Apollo 13 ;;;01/01/1995;;MOVIE;62000000;Adventure|Drama|History;IMDB;http://www.imdb.com/title/tt0112384/?ref_=fn_tt_tt_1;public;1995
Total Recall ;;;01/01/1990;;MOVIE;65000000;Action|Sci-Fi;IMDB;http://www.imdb.com/title/tt0100802/?ref_=fn_tt_tt_1;public;1990
The Santa Clause 2 ;;;01/01/2002;;MOVIE;60000000;Comedy|Family|Fantasy;IMDB;http://www.imdb.com/title/tt0304669/?ref_=fn_tt_tt_1;public;2002
Les Misérables ;;;01/01/2012;;MOVIE;61000000;Drama|Musical|Romance;IMDB;http://www.imdb.com/title/tt1707386/?ref_=fn_tt_tt_1;public;2012
You've Got Mail ;;;01/01/1998;;MOVIE;65000000;Comedy|Drama|Romance;IMDB;http://www.imdb.com/title/tt0128853/?ref_=fn_tt_tt_1;public;1998
Step Brothers ;;;01/01/2008;;MOVIE;65000000;Comedy;IMDB;http://www.imdb.com/title/tt0838283/?ref_=fn_tt_tt_1;public;2008
The Mask of Zorro ;;;01/01/1998;;MOVIE;65000000;Action|Adventure|Comedy|Romance|Thriller|Western;IMDB;http://www.imdb.com/title/tt0120746/?ref_=fn_tt_tt_1;public;1998
Due Date ;;;01/01/2010;;MOVIE;65000000;Comedy|Drama;IMDB;http://www.imdb.com/title/tt1231583/?ref_=fn_tt_tt_1;public;2010
Unbroken ;;;01/01/2014;;MOVIE;65000000;Biography|Drama|Sport|War;IMDB;http://www.imdb.com/title/tt1809398/?ref_=fn_tt_tt_1;public;2014
Space Cowboys ;;;01/01/2000;;MOVIE;65000000;Action|Adventure|Thriller;IMDB;http://www.imdb.com/title/tt0186566/?ref_=fn_tt_tt_1;public;2000
Cliffhanger ;;;01/01/1993;;MOVIE;70000000;Action|Adventure|Thriller;IMDB;http://www.imdb.com/title/tt0106582/?ref_=fn_tt_tt_1;public;1993
Broken Arrow ;;;01/01/1996;;MOVIE;50000000;Action|Crime|Thriller;IMDB;http://www.imdb.com/title/tt0115759/?ref_=fn_tt_tt_1;public;1996
The Kid ;;;01/01/2000;;MOVIE;60000000;Comedy|Family|Fantasy;IMDB;http://www.imdb.com/title/tt0219854/?ref_=fn_tt_tt_1;public;2000
World Trade Center ;;;01/01/2006;;MOVIE;63000000;Drama|History|Thriller;IMDB;http://www.imdb.com/title/tt0469641/?ref_=fn_tt_tt_1;public;2006
Mona Lisa Smile ;;;01/01/2003;;MOVIE;65000000;Drama;IMDB;http://www.imdb.com/title/tt0304415/?ref_=fn_tt_tt_1;public;2003
The Dictator ;;;01/01/2012;;MOVIE;65000000;Comedy|Romance;IMDB;http://www.imdb.com/title/tt1645170/?ref_=fn_tt_tt_1;public;2012
Eyes Wide Shut ;;;01/01/1999;;MOVIE;65000000;Drama|Mystery|Thriller;IMDB;http://www.imdb.com/title/tt0120663/?ref_=fn_tt_tt_1;public;1999
Annie ;;;01/01/2014;;MOVIE;65000000;Comedy|Drama|Family|Musical;IMDB;http://www.imdb.com/title/tt1823664/?ref_=fn_tt_tt_1;public;2014
Focus ;;;01/01/2015;;MOVIE;50100000;Comedy|Crime|Drama|Romance;IMDB;http://www.imdb.com/title/tt2381941/?ref_=fn_tt_tt_1;public;2015
This Means War ;;;01/01/2012;;MOVIE;65000000;Action|Comedy|Romance;IMDB;http://www.imdb.com/title/tt1596350/?ref_=fn_tt_tt_1;public;2012
Blade: Trinity ;;;01/01/2004;;MOVIE;65000000;Action|Adventure|Fantasy|Horror|Sci-Fi|Thriller;IMDB;http://www.imdb.com/title/tt0359013/?ref_=fn_tt_tt_1;public;2004
Red Dawn ;;;01/01/1984;;MOVIE;16900000;Action|Drama|War;IMDB;http://www.imdb.com/title/tt0087985/?ref_=fn_tt_tt_1;public;1984
Primary Colors ;;;01/01/1998;;MOVIE;65000000;Comedy|Drama;IMDB;http://www.imdb.com/title/tt0119942/?ref_=fn_tt_tt_1;public;1998
Resident Evil: Retribution ;;;01/01/2012;;MOVIE;65000000;Action|Horror|Sci-Fi|Thriller;IMDB;http://www.imdb.com/title/tt1855325/?ref_=fn_tt_tt_1;public;2012
Death Race ;;;01/01/2008;;MOVIE;45000000;Action|Sci-Fi|Thriller;IMDB;http://www.imdb.com/title/tt0452608/?ref_=fn_tt_tt_1;public;2008
The Long Kiss Goodnight ;;;01/01/1996;;MOVIE;65000000;Action|Crime|Drama|Mystery|Thriller;IMDB;http://www.imdb.com/title/tt0116908/?ref_=fn_tt_tt_1;public;1996
Proof of Life ;;;01/01/2000;;MOVIE;65000000;Action|Drama|Thriller;IMDB;http://www.imdb.com/title/tt0228750/?ref_=fn_tt_tt_1;public;2000
Zathura: A Space Adventure ;;;01/01/2005;;MOVIE;65000000;Action|Adventure|Comedy|Family|Fantasy|Sci-Fi;IMDB;http://www.imdb.com/title/tt0406375/?ref_=fn_tt_tt_1;public;2005
Fight Club ;;;01/01/1999;;MOVIE;63000000;Drama;IMDB;http://www.imdb.com/title/tt0137523/?ref_=fn_tt_tt_1;public;1999
We Are Marshall ;;;01/01/2006;;MOVIE;65000000;Drama|Sport;IMDB;http://www.imdb.com/title/tt0758794/?ref_=fn_tt_tt_1;public;2006
The Missing             ;;;01/01/;;MOVIE;;Crime|Drama|Mystery;IMDB;http://www.imdb.com/title/tt3877200/?ref_=fn_tt_tt_1;public;0
Hudson Hawk ;;;01/01/1991;;MOVIE;70000000;Action|Adventure|Comedy;IMDB;http://www.imdb.com/title/tt0102070/?ref_=fn_tt_tt_1;public;1991
Lucky Numbers ;;;01/01/2000;;MOVIE;65000000;Comedy|Crime;IMDB;http://www.imdb.com/title/tt0219952/?ref_=fn_tt_tt_1;public;2000
I, Frankenstein ;;;01/01/2014;;MOVIE;65000000;Action|Fantasy|Sci-Fi|Thriller;IMDB;http://www.imdb.com/title/tt1418377/?ref_=fn_tt_tt_1;public;2014
Oliver Twist ;;;01/01/2005;;MOVIE;50000000;Crime|Drama;IMDB;http://www.imdb.com/title/tt0380599/?ref_=fn_tt_tt_1;public;2005
Elektra ;;;01/01/2005;;MOVIE;43000000;Action|Crime|Fantasy|Thriller;IMDB;http://www.imdb.com/title/tt0357277/?ref_=fn_tt_tt_1;public;2005
Sin City: A Dame to Kill For ;;;01/01/2014;;MOVIE;65000000;Action|Crime|Thriller;IMDB;http://www.imdb.com/title/tt0458481/?ref_=fn_tt_tt_1;public;2014
Random Hearts ;;;01/01/1999;;MOVIE;64000000;Drama|Mystery|Romance;IMDB;http://www.imdb.com/title/tt0156934/?ref_=fn_tt_tt_1;public;1999
Everest ;;;01/01/2015;;MOVIE;55000000;Adventure|Biography|Drama|History|Sport|Thriller;IMDB;http://www.imdb.com/title/tt2719848/?ref_=fn_tt_tt_1;public;2015
Perfume: The Story of a Murderer ;;;01/01/2006;;MOVIE;50000000;Crime|Drama|Fantasy;IMDB;http://www.imdb.com/title/tt0396171/?ref_=fn_tt_tt_1;public;2006
Austin Powers in Goldmember ;;;01/01/2002;;MOVIE;63000000;Action|Comedy|Crime;IMDB;http://www.imdb.com/title/tt0295178/?ref_=fn_tt_tt_1;public;2002
Astro Boy ;;;01/01/2009;;MOVIE;65000000;Action|Animation|Comedy|Family|Sci-Fi;IMDB;http://www.imdb.com/title/tt0375568/?ref_=fn_tt_tt_1;public;2009
Jurassic Park ;;;01/01/1993;;MOVIE;63000000;Adventure|Sci-Fi|Thriller;IMDB;http://www.imdb.com/title/tt0107290/?ref_=fn_tt_tt_1;public;1993
Wyatt Earp ;;;01/01/1994;;MOVIE;63000000;Adventure|Biography|Crime|Drama|Western;IMDB;http://www.imdb.com/title/tt0111756/?ref_=fn_tt_tt_1;public;1994
Clear and Present Danger ;;;01/01/1994;;MOVIE;62000000;Action|Crime|Drama|Thriller;IMDB;http://www.imdb.com/title/tt0109444/?ref_=fn_tt_tt_1;public;1994
Dragon Blade ;;;01/01/2015;;MOVIE;65000000;Action|Adventure|Drama|History;IMDB;http://www.imdb.com/title/tt3672840/?ref_=fn_tt_tt_1;public;2015
Littleman ;;;01/01/2006;;MOVIE;64000000;Comedy|Crime;IMDB;http://www.imdb.com/title/tt0430304/?ref_=fn_tt_tt_1;public;2006
U-571 ;;;01/01/2000;;MOVIE;62000000;Action|War;IMDB;http://www.imdb.com/title/tt0141926/?ref_=fn_tt_tt_1;public;2000
The American President ;;;01/01/1995;;MOVIE;62000000;Comedy|Drama|Romance;IMDB;http://www.imdb.com/title/tt0112346/?ref_=fn_tt_tt_1;public;1995
The Love Guru ;;;01/01/2008;;MOVIE;62000000;Comedy|Romance|Sport;IMDB;http://www.imdb.com/title/tt0811138/?ref_=fn_tt_tt_1;public;2008
3000 Miles to Graceland ;;;01/01/2001;;MOVIE;42000000;Action|Comedy|Crime|Thriller;IMDB;http://www.imdb.com/title/tt0233142/?ref_=fn_tt_tt_1;public;2001
The Hateful Eight ;;;01/01/2015;;MOVIE;44000000;Crime|Drama|Mystery|Thriller|Western;IMDB;http://www.imdb.com/title/tt3460252/?ref_=fn_tt_tt_1;public;2015
Blades of Glory ;;;01/01/2007;;MOVIE;61000000;Comedy|Sport;IMDB;http://www.imdb.com/title/tt0445934/?ref_=fn_tt_tt_1;public;2007
Hop ;;;01/01/2011;;MOVIE;63000000;Adventure|Animation|Comedy|Family|Fantasy;IMDB;http://www.imdb.com/title/tt1411704/?ref_=fn_tt_tt_1;public;2011
300 ;;;01/01/2006;;MOVIE;65000000;Action|Drama|Fantasy|War;IMDB;http://www.imdb.com/title/tt0416449/?ref_=fn_tt_tt_1;public;2006
Meet the Fockers ;;;01/01/2004;;MOVIE;80000000;Comedy|Romance;IMDB;http://www.imdb.com/title/tt0290002/?ref_=fn_tt_tt_1;public;2004
Marley & Me ;;;01/01/2008;;MOVIE;60000000;Comedy|Drama|Family;IMDB;http://www.imdb.com/title/tt0822832/?ref_=fn_tt_tt_1;public;2008
The Green Mile ;;;01/01/1999;;MOVIE;60000000;Crime|Drama|Fantasy|Mystery;IMDB;http://www.imdb.com/title/tt0120689/?ref_=fn_tt_tt_1;public;1999
Wild Hogs ;;;01/01/2007;;MOVIE;;Action|Adventure|Comedy;IMDB;http://www.imdb.com/title/tt0486946/?ref_=fn_tt_tt_1;public;2007
Chicken Little ;;;01/01/2005;;MOVIE;150000000;Adventure|Animation|Comedy|Family|Sci-Fi;IMDB;http://www.imdb.com/title/tt0371606/?ref_=fn_tt_tt_1;public;2005
Gone Girl ;;;01/01/2014;;MOVIE;61000000;Crime|Drama|Mystery|Thriller;IMDB;http://www.imdb.com/title/tt2267998/?ref_=fn_tt_tt_1;public;2014
The Bourne Identity ;;;01/01/2002;;MOVIE;60000000;Action|Mystery|Thriller;IMDB;http://www.imdb.com/title/tt0258463/?ref_=fn_tt_tt_1;public;2002
GoldenEye ;;;01/01/1995;;MOVIE;58000000;Action|Adventure|Thriller;IMDB;http://www.imdb.com/title/tt0113189/?ref_=fn_tt_tt_1;public;1995
The General's Daughter ;;;01/01/1999;;MOVIE;95000000;Drama|Mystery|Thriller;IMDB;http://www.imdb.com/title/tt0144214/?ref_=fn_tt_tt_1;public;1999
The Truman Show ;;;01/01/1998;;MOVIE;60000000;Comedy|Drama|Sci-Fi;IMDB;http://www.imdb.com/title/tt0120382/?ref_=fn_tt_tt_1;public;1998
The Prince of Egypt ;;;01/01/1998;;MOVIE;70000000;Adventure|Animation|Biography|Drama|Family|Fantasy|Musical;IMDB;http://www.imdb.com/title/tt0120794/?ref_=fn_tt_tt_1;public;1998
Daddy Day Care ;;;01/01/2003;;MOVIE;60000000;Comedy|Family;IMDB;http://www.imdb.com/title/tt0317303/?ref_=fn_tt_tt_1;public;2003
2 Guns ;;;01/01/2013;;MOVIE;61000000;Action|Comedy|Crime|Drama|Thriller;IMDB;http://www.imdb.com/title/tt1272878/?ref_=fn_tt_tt_1;public;2013
Cats & Dogs ;;;01/01/2001;;MOVIE;60000000;Action|Comedy|Family|Fantasy;IMDB;http://www.imdb.com/title/tt0239395/?ref_=fn_tt_tt_1;public;2001
The Italian Job ;;;01/01/2003;;MOVIE;60000000;Action|Crime|Thriller;IMDB;http://www.imdb.com/title/tt0317740/?ref_=fn_tt_tt_1;public;2003
Two Weeks Notice ;;;01/01/2002;;MOVIE;60000000;Comedy|Romance;IMDB;http://www.imdb.com/title/tt0313737/?ref_=fn_tt_tt_1;public;2002
Antz ;;;01/01/1998;;MOVIE;105000000;Adventure|Animation|Comedy|Family;IMDB;http://www.imdb.com/title/tt0120587/?ref_=fn_tt_tt_1;public;1998
Couples Retreat ;;;01/01/2009;;MOVIE;60000000;Comedy;IMDB;http://www.imdb.com/title/tt1078940/?ref_=fn_tt_tt_1;public;2009
Days of Thunder ;;;01/01/1990;;MOVIE;60000000;Action|Drama|Sport;IMDB;http://www.imdb.com/title/tt0099371/?ref_=fn_tt_tt_1;public;1990
Cheaper by the Dozen 2 ;;;01/01/2005;;MOVIE;60000000;Adventure|Comedy|Family;IMDB;http://www.imdb.com/title/tt0452598/?ref_=fn_tt_tt_1;public;2005
The Scorch Trials ;;;01/01/2015;;MOVIE;61000000;Action|Sci-Fi|Thriller;IMDB;http://www.imdb.com/title/tt4046784/?ref_=fn_tt_tt_1;public;2015
Eat Pray Love ;;;01/01/2010;;MOVIE;60000000;Drama|Romance;IMDB;http://www.imdb.com/title/tt0879870/?ref_=fn_tt_tt_1;public;2010
The Family Man ;;;01/01/2000;;MOVIE;60000000;Comedy|Drama|Fantasy|Romance;IMDB;http://www.imdb.com/title/tt0218967/?ref_=fn_tt_tt_1;public;2000
RED ;;;01/01/2010;;MOVIE;58000000;Action|Comedy|Crime|Thriller;IMDB;http://www.imdb.com/title/tt1245526/?ref_=fn_tt_tt_1;public;2010
Any Given Sunday ;;;01/01/1999;;MOVIE;55000000;Drama|Sport;IMDB;http://www.imdb.com/title/tt0146838/?ref_=fn_tt_tt_1;public;1999
The Horse Whisperer ;;;01/01/1998;;MOVIE;60000000;Drama|Romance|Western;IMDB;http://www.imdb.com/title/tt0119314/?ref_=fn_tt_tt_1;public;1998
Collateral ;;;01/01/2004;;MOVIE;65000000;Crime|Drama|Thriller;IMDB;http://www.imdb.com/title/tt0369339/?ref_=fn_tt_tt_1;public;2004
The Scorpion King ;;;01/01/2002;;MOVIE;60000000;Action|Adventure|Fantasy|Thriller;IMDB;http://www.imdb.com/title/tt0277296/?ref_=fn_tt_tt_1;public;2002
Ladder 49 ;;;01/01/2004;;MOVIE;55000000;Action|Drama|Thriller;IMDB;http://www.imdb.com/title/tt0349710/?ref_=fn_tt_tt_1;public;2004
Jack Reacher ;;;01/01/2012;;MOVIE;60000000;Action|Crime|Mystery|Thriller;IMDB;http://www.imdb.com/title/tt0790724/?ref_=fn_tt_tt_1;public;2012
Deep Blue Sea ;;;01/01/1999;;MOVIE;60000000;Action|Sci-Fi|Thriller;IMDB;http://www.imdb.com/title/tt0149261/?ref_=fn_tt_tt_1;public;1999
This Is It ;;;01/01/2009;;MOVIE;60000000;Documentary|Music;IMDB;http://www.imdb.com/title/tt1477715/?ref_=fn_tt_tt_1;public;2009
Contagion ;;;01/01/2011;;MOVIE;60000000;Drama|Thriller;IMDB;http://www.imdb.com/title/tt1598778/?ref_=fn_tt_tt_1;public;2011
Kangaroo Jack ;;;01/01/2003;;MOVIE;60000000;Action|Adventure|Comedy|Crime;IMDB;http://www.imdb.com/title/tt0257568/?ref_=fn_tt_tt_1;public;2003
Coraline ;;;01/01/2009;;MOVIE;60000000;Animation|Family|Fantasy;IMDB;http://www.imdb.com/title/tt0327597/?ref_=fn_tt_tt_1;public;2009
The Happening ;;;01/01/2008;;MOVIE;48000000;Sci-Fi|Thriller;IMDB;http://www.imdb.com/title/tt0949731/?ref_=fn_tt_tt_1;public;2008
Man on Fire ;;;01/01/2004;;MOVIE;70000000;Action|Crime|Drama|Thriller;IMDB;http://www.imdb.com/title/tt0328107/?ref_=fn_tt_tt_1;public;2004
